year,route1,highpoint,route
2001,S Col-SE Ridge,8850,"BC(04/04,5350m),C1(11/04,6100m),C2(19/04,6400m),C3(23/04,7300m),C4(23/05,7900m),Smt(25/05)"
2001,S Col-SE Ridge,8850,"BC(01/04),C1(16/04,5800m),C2(17/04,6400m),C3(26/04,7300m),C4(22/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(29/04,5350m),C2(02/05,6400m),C3(03/05,7200m),C4(21/05,7900m),Smt(22/05)"
2001,S Col-SE Ridge,8850,"BC(05/04,5400m),C1(12/04,6100m),C2(13/04,6400m),C3(21/05,7300m),C4(22/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(09/04,5350m),C1(12/04,6000m),C2(13/04,6400m),C3(28/04,7300m),C4(22/05,7950m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(05/04,5350m),C1(10/04,6000m),C2(15/04,6350m),C3(25/04,7250m),C4(30/04,7900m),Smt(22/05)"
2001,S Col-SE Ridge,8850,"BC(10/04,5200m),C1(14/04,5600m),C2(16/04,6300m),C3(24/04,7300m),C4(22/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(03/04,5300m),C1(23/04,6000m),C2(26/04,6250m),C3(01/05,7300m),C4(21/05,7900m),Smt(23-24/05)"
2002,S Col-SE Ridge,8850,"BC(04/04,5380m),C1(11/04,6100m),C2(13/04,6500m),C3(30/04,7300m),C4(14/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(08/04,5350m),C1(14/04,6100m),C2(16/04,6400m),C3(04/05,7350m),C4(15/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(01/04,5400m),C1(11/04,6200m),C2(12/04,6500m),C3(17-18/04,6800m),C4(15/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(10/04,5350m),C1(15/04,6000m),C2(17/04,6450m),C3(06/05,7300m),C4(23/05,7900m),Smt(25/05)"
2002,S Col-SE Ridge,8850,"BC(08/04,5300m),C1(16/04,6000m),C2(20/04,6400m),C3(13/05,7300m),C4(14/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(10/04,5400m),C1(25/04,6270m),C2(22/04,6523,C3(13/05,6800m),C4(14/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(07/04,5300m),C1(13/04,6000m),C2(20/04,6400m),C3(09/05,7200m),C4(15/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(04/04,5500m),C1(13/04,6300m),C2(17/04,6700m),C3(21/04,7300m),C4(07/05,7900m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(02/04,5350m),C1(11/04,5900m),C2(17/04,6400m),C3(13/05,7300m),C4(14/05,7950m),Smt(16/05)"
2002,S Col-SE Ridge,8850,"BC(07/04,5350m),C1(15/04,6100m),C2(22/04,6400m),C3(26/04,7300m),C4(04/05,7900m),Smt(16,25/05)"
2002,S Col-SE Ridge,8850,"BC(13/04,5350m),C1(19/04,5900m),C2(21/04,6400m),C3(05/05,7200m),C4(23/05,7900m),Smt(25/05)"
2002,S Col-SE Ridge,8850,"BC(05/04,5360m),C1(13/04,6000m),C2(16/04,6350m),C3(07/05,7200m),C4(18/05,7900m),Smt(25/05)"
2002,S Col-SE Ridge,8850,"BC(08/04,5350m),C1(17/04,6100m),C2(19/04,6500m),C3(02/05,7300m),C4(17/05,7900m),Smt(18/05)"
